Timestamp,BR_20s (bpm)
00:00:20,18.0
00:00:40,15.0
00:01:00,18.0
00:01:20,18.0
00:01:40,19.5
00:02:00,19.5
00:02:20,13.5
00:02:40,15.0
00:03:00,19.5
00:03:20,16.5
00:03:40,18.0
00:04:00,19.5
00:04:20,18.0
00:04:40,19.5
00:05:00,16.5
00:05:20,18.0
00:05:40,18.0
00:06:00,18.0
00:06:20,12.0
00:06:40,18.0
00:07:00,12.0
00:07:20,12.0
00:07:40,12.0
00:08:00,12.0
00:08:20,12.0
00:08:40,12.0
00:09:00,13.5
00:09:20,13.5
00:09:40,12.0
00:10:00,16.5
00:10:20,13.5
00:10:40,13.5
00:11:00,13.5
00:11:20,18.0
00:11:40,18.0
00:12:00,18.0
00:12:20,18.0
00:12:40,18.0
00:13:00,18.0
00:13:20,18.0
00:13:40,18.0
00:14:00,18.0
00:14:20,13.5
00:14:40,16.5
00:15:00,18.0
00:15:20,12.0
00:15:40,12.0
00:16:00,15.0
00:16:20,12.0
00:16:40,12.0
00:17:00,12.0
00:17:20,12.0
00:17:40,12.0
00:18:00,12.0
00:18:20,12.0
00:18:40,12.0
00:19:00,12.0
00:19:20,13.5
00:19:40,18.0
00:20:00,13.5
00:20:20,13.5
00:20:40,19.5
00:21:00,16.5
00:21:20,15.0
00:21:40,15.0
00:22:00,15.0
00:22:20,15.0
00:22:40,15.0
00:23:00,15.0
00:23:20,15.0
00:23:40,15.0
00:24:00,15.0
00:24:20,13.5
00:24:40,15.0
00:25:00,13.5
00:25:20,15.0
00:25:40,15.0
00:26:00,15.0
00:26:20,15.0
00:26:40,15.0
00:27:00,15.0
00:27:20,15.0
00:27:40,15.0
00:28:00,15.0
00:28:20,15.0
00:28:40,15.0
00:29:00,15.0
00:29:20,18.0
00:29:40,13.5
00:30:00,13.5
00:30:20,13.5
00:30:40,12.0
00:31:00,30.0
00:31:20,30.0
00:31:40,30.0
00:32:00,30.0
00:32:20,30.0
00:32:40,30.0
00:33:00,30.0
00:33:20,30.0
00:33:40,30.0
00:34:00,30.0
00:34:20,12.0
00:34:40,13.5
00:35:00,18.0
00:35:20,12.0
00:35:40,13.5
00:36:00,12.0
00:36:20,12.0
00:36:40,12.0
00:37:00,18.0
00:37:20,18.0
00:37:40,18.0
00:38:00,12.0
00:38:20,12.0
00:38:40,12.0
00:39:00,12.0
00:39:20,15.0
00:39:40,15.0
00:40:00,15.0
00:40:20,21.0
00:40:40,21.0
00:41:00,13.5
00:41:20,15.0
00:41:40,15.0
00:42:00,15.0
00:42:20,22.5
00:42:40,22.5
00:43:00,12.0
00:43:20,15.0
00:43:40,16.5
00:44:00,16.5
00:44:20,19.5
00:44:40,18.0
00:45:00,19.5
00:45:20,28.5
00:45:40,13.5
00:46:00,13.5
00:46:20,13.5
00:46:40,15.0
00:47:00,15.0
00:47:20,18.0
00:47:40,18.0
00:48:00,18.0
00:48:20,28.5
00:48:40,30.0
00:49:00,30.0
00:49:20,16.5
00:49:40,13.5
00:50:00,13.5
00:50:20,12.0
00:50:40,12.0
00:51:00,13.5
00:51:20,15.0
